Date,Open,High,Low,Close,Adj Close,Volume
2020-03-17,1093.109985,1130.859985,1056.01001,1119.800049,1119.800049,3861500
2020-03-18,1056.51001,1106.5,1037.280029,1096.800049,1096.800049,4233400
2020-03-19,1093.050049,1157.969971,1060.108032,1115.290039,1115.290039,3651100
2020-03-20,1135.719971,1143.98999,1065.48999,1072.319946,1072.319946,3601800
2020-03-23,1061.319946,1071.319946,1013.536011,1056.619995,1056.619995,4044100
2020-03-24,1103.77002,1135,1090.619995,1134.459961,1134.459961,3344500
2020-03-25,1126.469971,1148.900024,1086.01001,1102.48999,1102.48999,4081500
2020-03-26,1111.800049,1169.969971,1093.530029,1161.75,1161.75,3571700
2020-03-27,1125.670044,1150.670044,1105.910034,1110.709961,1110.709961,3208500
2020-03-30,1125.040039,1151.630005,1096.47998,1146.819946,1146.819946,2574100
2020-03-31,1147.300049,1175.310059,1138.140015,1162.810059,1162.810059,2486400
2020-04-01,1122,1129.689941,1097.449951,1105.619995,1105.619995,2344200
2020-04-02,1098.26001,1126.859985,1096.400024,1120.839966,1120.839966,1964900
2020-04-03,1119.015015,1123.540039,1079.810059,1097.880005,1097.880005,2313400
2020-04-06,1138,1194.660034,1130.939941,1186.920044,1186.920044,2664700
2020-04-07,1221,1225,1182.22998,1186.51001,1186.51001,2387300
2020-04-08,1206.5,1219.069946,1188.160034,1210.280029,1210.280029,1975100
2020-04-09,1224.079956,1225.569946,1196.734985,1211.449951,1211.449951,2175400
2020-04-13,1209.180054,1220.51001,1187.598022,1217.560059,1217.560059,1739800
2020-04-14,1245.089966,1282.069946,1236.930054,1269.22998,1269.22998,2470400
2020-04-15,1245.609985,1280.459961,1240.400024,1262.469971,1262.469971,1671700
2020-04-16,1274.099976,1279,1242.619995,1263.469971,1263.469971,2518100
2020-04-17,1284.849976,1294.430054,1271.22998,1283.25,1283.25,1949000
2020-04-20,1271,1281.599976,1261.369995,1266.609985,1266.609985,1695500
2020-04-21,1247,1254.27002,1209.709961,1216.339966,1216.339966,2153000
2020-04-22,1245.540039,1285.613037,1242,1263.209961,1263.209961,2092400
2020-04-23,1271.550049,1293.310059,1265.670044,1276.310059,1276.310059,1566200
2020-04-24,1261.170044,1280.400024,1249.449951,1279.310059,1279.310059,1639600
2020-04-27,1296,1296.150024,1269,1275.880005,1275.880005,1600600
2020-04-28,1287.930054,1288.050049,1232.199951,1233.670044,1233.670044,2951300
2020-04-29,1341.459961,1359.98999,1325.339966,1341.47998,1341.47998,3793600
2020-04-30,1324.880005,1352.819946,1322.48999,1348.660034,1348.660034,2668900
2020-05-01,1328.5,1352.069946,1311,1320.609985,1320.609985,2072500
2020-05-04,1308.22998,1327.660034,1299,1326.800049,1326.800049,1504000
